term,even_xgf,playerId,name,position,teamId,even_xga,pp_xgf,pk_xga
8483524,0.034793655847616276,8483524.0,Shane Wright,C,55,0.07259964849167524,0.09900179898375437,-0.11016642359652207
8473419,0.11713788524336255,8473419.0,Brad Marchand,L,6,0.1060199262989029,0.13984972822521644,-0.17409158990268597
8475179,-0.0397777644872943,8475179.0,Dmitry Kulikov,D,13,-0.031326227551833445,-0.10663694012087152,0.036820017832066676
8475745,-0.006488980936623797,8475745.0,Charlie Coyle,C,6,-0.013372817380693616,-0.08658120039325598,-0.034837175994050736
8476854,0.03940567450440115,8476854.0,Hampus Lindholm,D,6,-0.021945659679040806,-0.05094672134813176,-0.026515788559346908
8477409,0.13717681567150228,8477409.0,Carter Verhaeghe,C,13,0.025977822005695726,0.21618550164478567,-0.13403506203748888
8477493,0.05313187358188545,8477493.0,Aleksander Barkov,C,13,-0.14385551646231462,0.20204698965326537,-0.052739783384138074
8477496,-0.001704542336318904,8477496.0,Elias Lindholm,C,6,-0.04536124482322245,0.06842217281172824,-0.028540323482060852
8477507,-0.03869637110797851,8477507.0,Nikita Zadorov,D,6,-0.04582901634057995,-0.1485282690363661,0.0392290198428405
8477932,0.057883740741352545,8477932.0,Aaron Ekblad,D,13,0.0068477917933409,0.10104557517071466,-0.08849510099289717
8477933,0.005049522178842063,8477933.0,Sam Reinhart,C,13,-0.18528890692490477,0.16374853819426585,-0.08906828213744235
8477935,0.17909387539558158,8477935.0,Sam Bennett,C,13,0.0774892296607728,0.19933939633054468,-0.04338076350933255
8477956,0.2037180571414224,8477956.0,David Pastrnak,R,6,0.0033986164517595726,0.19409482573944245,-0.1308022313372695
8478055,0.10271611888994611,8478055.0,Gustav Forsling,D,13,-0.044095849724970944,-0.17120950183790862,0.046237868147886683
8478401,0.03442224298562763,8478401.0,Pavel Zacha,C,6,0.05022847927241097,0.051930903807129065,0.013615322382417177
8478421,0.017260917905454323,8478421.0,A.J. Greer,L,13,-0.05540492429547055,-0.02074517885336991,-0.01885111725449362
8478443,-0.16550612899740735,8478443.0,Brandon Carlo,D,6,-0.001202392928188085,-0.14909503712061944,0.14048597567443072
8478542,-0.0318438407719824,8478542.0,Evan Rodrigues,C,13,-0.007787488718652114,0.05697206740380181,-0.03792689231973614
